elevation,dist_to_water,dist_to_clyde,building_count,road_count,mean_annual_mm_day,mean_winter_mm_day,wet_days_per_year,max_daily_mm,flood_risk,easting,northing
8,429.13053806598646,429.13053806598646,62,57,2.9601,3.4095,166.3,39.458,2,255983,665006
17,808.6153630997927,1228.448457193296,42,58,2.8455,3.3141,163.7,37.886,1,256083,664106
14,724.3630880847584,1135.3277752433148,38,73,2.8455,3.3141,163.7,37.886,2,256083,664206
13,644.6277695836297,1043.1427261242884,37,72,2.8455,3.3141,163.7,37.886,2,256083,664306
12,571.3038064436845,949.0657471707242,44,71,2.8455,3.3141,163.7,37.886,2,256083,664406
10,507.1795709565998,851.4943408966427,41,69,2.8455,3.3141,163.7,37.886,2,256083,664506
10,455.21994994732086,754.5590982191461,50,56,2.8455,3.3141,163.7,37.886,2,256083,664606
9,420.75878737074055,658.5410031513405,57,50,2.8455,3.3141,163.7,37.886,2,256083,664706
11,408.4736361986546,563.908745239739,56,59,2.8455,3.3141,163.7,37.886,2,256083,664806
9,420.313532721712,471.4975006128239,51,60,2.8455,3.3141,163.7,37.886,2,256083,664906
10,382.37056229184736,382.37056229184736,41,67,2.9601,3.4095,166.3,39.458,2,256083,665006
8,293.97653157935,293.97653157935,40,70,2.9601,3.4095,166.3,39.458,2,256083,665106
8,205.60189526637024,205.60189526637024,31,67,2.9601,3.4095,166.3,39.458,2,256083,665206
8,127.24662233661569,127.24662233661569,30,52,2.9601,3.4095,166.3,39.458,2,256083,665306
3,97.78609376085164,97.78609376085164,24,31,2.9601,3.4095,166.3,39.458,2,256083,665406
4,70.41679657550866,70.41679657550866,13,21,2.9601,3.4095,166.3,39.458,2,256083,665506
1,0.0,0.0,2,13,2.9601,3.4095,166.3,39.458,0,256083,665606
6,0.0,0.0,6,16,2.9601,3.4095,166.3,39.458,0,256083,665706
10,20.48554320050744,20.48554320050744,6,36,2.9601,3.4095,166.3,39.458,2,256083,665806
5,108.52923497854826,108.52923497854826,9,64,2.9601,3.4095,166.3,39.458,2,256083,665906
29,719.3780953187348,1651.346281541389,101,40,2.8455,3.3141,163.7,37.886,1,256183,663606
24,804.3696005405598,1560.1367592462684,83,43,2.8455,3.3141,163.7,37.886,1,256183,663706
18,892.3491673120435,1468.9670922233895,82,46,2.8455,3.3141,163.7,37.886,1,256183,663806
18,948.5636477644128,1377.8672264166382,67,63,2.8455,3.3141,163.7,37.886,1,256183,663906
17,854.7608272486561,1286.1324072298933,42,71,2.8455,3.3141,163.7,37.886,1,256183,664006
16,762.5346875634476,1192.3523302344142,29,72,2.8455,3.3141,163.7,37.886,1,256183,664106
16,672.534183277075,1098.9442194548133,29,84,2.8455,3.3141,163.7,37.886,1,256183,664206
