elevation,dist_to_water,dist_to_clyde,building_count,road_count,mean_annual_mm_day,mean_winter_mm_day,wet_days_per_year,max_daily_mm,flood_risk,easting,northing
8,429.13053806598646,429.13053806598646,62,57,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,255983.0,665006.0
17,808.6153630997927,1228.448457193296,42,58,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,1,256083.0,664106.0
14,724.3630880847584,1135.3277752433148,38,73,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256083.0,664206.0
13,644.6277695836297,1043.1427261242884,37,72,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256083.0,664306.0
12,571.3038064436845,949.0657471707242,44,71,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256083.0,664406.0
10,507.1795709565998,851.4943408966427,41,69,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256083.0,664506.0
10,455.21994994732086,754.5590982191461,50,56,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256083.0,664606.0
9,420.75878737074055,658.5410031513405,57,50,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256083.0,664706.0
11,408.4736361986546,563.908745239739,56,59,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256083.0,664806.0
9,420.31353272171197,471.4975006128239,51,60,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256083.0,664906.0
10,382.37056229184736,382.37056229184736,41,67,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256083.0,665006.0
8,293.97653157935,293.97653157935,40,70,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256083.0,665106.0
8,205.60189526637026,205.60189526637026,31,67,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256083.0,665206.0
8,127.24662233661569,127.24662233661569,30,52,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256083.0,665306.0
3,97.78609376085163,97.78609376085163,24,31,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256083.0,665406.0
4,70.41679657550866,70.41679657550866,13,21,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256083.0,665506.0
