year,total_mm
1987,1008.9437404558263
1988,1162.713274098821
1989,958.4587263586252
1990,1271.5150180286612
1991,1067.8494706843026
1992,1197.1389570476513
1993,1044.9573923106898
1994,1191.8627851525312
1995,1016.1326040451012
1996,824.8989753032545
1997,914.1442180205486
1998,1283.8185908969087
1999,1229.2801583670173
2000,1194.4587469693354
2001,789.1344433881321
2002,1222.4240931206227
2003,804.6750157449543
2004,1130.1819719543373
2005,1007.3917988276531
2006,1218.8786926390446
2007,1056.831494870487
2008,1290.6646931665416
2009,1114.7404765687643
2010,874.9130535955059
2011,1427.767771418651
2012,1235.1756244198175
2013,1036.2631170162356
2014,1023.8632863154194
2015,1372.265179189071
2016,992.3497335157658
2017,956.5921145836057
2018,900.6409384660082
2019,1027.7692625034313
2020,1178.4442495194603
2021,933.111576167874
2022,1033.3789889542861
2023,1077.6974078295375
2024,1048.8041100272594
2025,959.0797103923484
